links,names,address,ratings,price for two,cuisine
https://www.zomato.com/pune/paul-mundhwa/info,PAUL/,N/A,4.2,"₹1,100 for two","Cafe, Continental, European, Italian, French, Desserts, Coffee, Beverages"
https://www.zomato.com/pune/agent-jacks-hadapsar/info,Agent Jack's/,N/A,4.4,"₹1,800 for two","Bar Food, North Indian, Pasta, Continental, Thai, Oriental, Chinese, Pizza"
https://www.zomato.com/pune/pan-asia-erandwane/info,Pan Asia/,N/A,4.7,"₹1,200 for two","Asian, Sushi, Momos, North Indian, Seafood, Burger, Desserts"
https://www.zomato.com/pune/affairs-the-bar-kalyani-nagar/info,Affairs - The Bar/,N/A,4.2,"₹2,000 for two","North Indian, Continental, Asian, Pizza, Kebab, Biryani, Desserts, Beverages"
https://www.zomato.com/pune/seoul-bunsik-koregaon-park/info,Seoul Bunsik/,N/A,2.9,₹500 for two,"Cafe, Coffee, Korean"
https://www.zomato.com/pune/texas-tower-kharadi/info,Texas Tower/,N/A,4.3,"₹1,900 for two","North Indian, Chinese, Oriental, Biryani, Mughlai, Mexican, Desserts, Beverages"
https://www.zomato.com/pune/yeti-the-himalayan-kitchen-kalyani-nagar/info,Yeti The Himalayan Kitchen/,N/A,4.3,"₹1,500 for two","Nepalese, Chinese, Tibetan, Momos, Desserts, Shake, Beverages"
https://www.zomato.com/pune/local-gastro-bar-hinjawadi/info,Local Gastro Bar/,N/A,4.1,"₹2,300 for two","Bar Food, Pizza, Beverages"
https://www.zomato.com/pune/subakes-sadashiv-peth/info,Subakes/,N/A,4.3,₹850 for two,"Cafe, Coffee, European, Sandwich, Fast Food, Salad, Italian, Shake"
https://www.zomato.com/pune/fml-food-music-love-nibm-road/info,FML - Food Music Love/,N/A,4.2,"₹1,900 for two","Chinese, Continental, North Indian, Oriental, Italian, Desserts"
https://www.zomato.com/pune/kalinga-restaurant-bar-erandwane/info,Kalinga Restaurant & Bar/,N/A,4.1,"₹1,600 for two","North Indian, Mangalorean, Seafood, Mughlai, Continental, Asian, Chinese, Ice Cream"
https://www.zomato.com/pune/the-cult-terra-magarpatta/info,The Cult - Terra/,N/A,4.2,"₹1,800 for two","Pizza, Continental, North Indian, Chinese, Italian, Bar Food, Desserts, Beverages"
https://www.zomato.com/pune/soy-como-soy-1-kalyani-nagar/info,Soy Como Soy/,N/A,4.7,"₹2,500 for two","Japanese, Asian, Peruvian, Desserts, Beverages"
https://www.zomato.com/pune/gong-baner/info,Gong/,N/A,4.7,"₹2,000 for two","Chinese, Sushi, Asian, Japanese, Thai, Salad, Desserts, Beverages"
https://www.zomato.com/pune/doolally-taproom-1-mundhwa/info,Doolally Taproom/,N/A,4.5,"₹1,000 for two","Continental, Pizza, Fast Food, North Indian, Chinese, Pasta, Desserts, Beverages"
https://www.zomato.com/pune/toit-1-kalyani-nagar/info,Toit/,N/A,4.6,"₹1,800 for two","Continental, Pizza, Fast Food, Desserts"
https://www.zomato.com/pune/toss-pizzeria-bibvewadi/info,Toss Pizzeria/,N/A,4.7,₹600 for two,"Pizza, Italian, Beverages, Cafe, Coffee, Fast Food"
https://www.zomato.com/pune/mekong-folks-balewadi/info,Mekong Folks/,N/A,4.7,"₹2,000 for two","Asian, Cantonese, Sushi, Japanese, Chinese, Salad, Seafood, Beverages"
https://www.zomato.com/pune/barista-coffee-law-college-road/info,Barista Coffee/,N/A,3.9,₹850 for two,"Cafe, Coffee, Desserts"
https://www.zomato.com/pune/ishaara-viman-nagar/info,Ishaara/,N/A,4.6,"₹1,400 for two","North Indian, Mughlai, Kebab, Biryani"
https://www.zomato.com/pune/wynkk-kitchen-bar-aundh/info,Wynkk Kitchen & Bar/,N/A,4.6,"₹1,500 for two","North Indian, Continental, Pizza, Kebab, Thai, Bar Food, Asian, Fast Food"
https://www.zomato.com/pune/sukhi-da-dhaba-wakad/info,Sukhi Da Dhaba/,N/A,4.0,"₹2,000 for two","North Indian, Asian, Mughlai, Fast Food, Biryani, Beverages"
https://www.zomato.com/pune/the-treat-multicuisine-restaurant-sinhgad-road/info,The Treat Multicuisine Restaurant/,N/A,4.4,"₹1,100 for two","North Indian, Chinese, Mughlai, Seafood, Italian, Biryani, Salad, Desserts"
https://www.zomato.com/pune/quarter-bar-kitchen-kharadi/info,Quarter Bar & Kitchen/,N/A,4.4,"₹2,800 for two","North Indian, Chinese, Asian, Fast Food, Desserts"
https://www.zomato.com/pune/nomad-pizza-kalyani-nagar/info,Nomad Pizza/,N/A,4.2,"₹2,000 for two","Pizza, Italian, Continental"
https://www.zomato.com/pune/plink-yerawada/info,Plink/,N/A,4.2,"₹3,000 for two","Italian, Continental, Mughlai, Chinese, Salad, Pizza, Fast Food"
https://www.zomato.com/pune/copa-cabana-pimple-nilakh/info,Copa Cabana/,N/A,4.4,"₹1,900 for two","North Indian, Continental, Asian, Italian, Salad, Biryani, Sandwich, Desserts"
https://www.zomato.com/pune/circuit-house-balewadi/info,Circuit House/,N/A,4.5,"₹1,800 for two","North Indian, Italian, Continental, Chinese, Mughlai, Desserts, Beverages"
https://www.zomato.com/pune/local-gastro-bar-koregaon-park/info,Local Gastro Bar/,N/A,4.1,"₹2,300 for two","Pizza, Bar Food, Beverages"
https://www.zomato.com/pune/amora-skyline-lounge-kitchen-hinjawadi/info,Amora Skyline Lounge & Kitchen/,N/A,4.1,"₹1,000 for two","North Indian, Chinese"
https://www.zomato.com/pune/planet-9-bavdhan/info,Planet 9/,N/A,4.4,"₹2,000 for two","North Indian, Mughlai, Mexican, Biryani, Beverages"
https://www.zomato.com/pune/hard-rock-cafe-2-hadapsar/info,Hard Rock Cafe/,N/A,4.3,"₹1,800 for two","Burger, Italian, Pizza, American, Continental, Desserts"
https://www.zomato.com/pune/high-spirits-mundhwa/info,High Spirits/,N/A,4.3,"₹2,000 for two","North Indian, Continental, Italian, Pasta, Pizza"
https://www.zomato.com/pune/eight-wakad/info,Eight/,N/A,4.5,"₹2,000 for two","Asian, Bar Food, Japanese, Sushi"
https://www.zomato.com/pune/the-corner-lounge-1-baner/info,The Corner Lounge/,N/A,4.6,"₹2,000 for two","North Indian, Oriental, Continental, Mexican, Seafood, Kebab, Biryani, Desserts"
https://www.zomato.com/pune/sreca-rooftop-lounge-pimple-nilakh/info,Sreca Rooftop Lounge/,N/A,4.3,"₹1,000 for two","North Indian, Continental, Asian, Bar Food, Chinese, Pizza, Seafood"
https://www.zomato.com/pune/punjab-exotica-magarpatta/info,Punjab Exotica/,N/A,4.2,"₹1,300 for two","Maharashtrian, North Indian, Seafood, Biryani, Chinese, Pizza, Fast Food, Desserts"
https://www.zomato.com/pune/barbozaa-magarpatta/info,Barbozaa/,N/A,4.5,"₹2,300 for two","Bar Food, Pizza, North Indian, Pasta"
https://www.zomato.com/pune/the-market-the-westin-pune-mundhwa/info,The Market - The Westin Pune/,N/A,4.2,"₹4,000 for two","North Indian, European, Asian, Desserts"
https://www.zomato.com/pune/skylark-hinjawadi/info,Skylark/,N/A,3.8,"₹1,000 for two","North Indian, Chinese"
https://www.zomato.com/pune/tsuki-koregaon-park/info,Tsuki/,N/A,4.4,"₹2,500 for two","Thai, Cantonese, Japanese, Sushi, Rolls, Desserts"
https://www.zomato.com/pune/the-3-musketeers-cafe-bar-hinjawadi/info,The 3 Musketeers Cafe & Bar/,N/A,4.4,"₹1,200 for two","Continental, Chinese, North Indian, Mughlai, Biryani, Italian, Fast Food, Desserts"
https://www.zomato.com/pune/english-house-viman-nagar/info,English House/,N/A,4.5,"₹2,000 for two","North Indian, Continental, Italian, Pizza"
https://www.zomato.com/pune/ava-artisan-kitchen-bar-1-balewadi/info,Ava Artisan Kitchen & Bar/,N/A,New,"₹1,200 for two","North Indian, Chinese, Continental, Sushi, Asian, Italian"
https://www.zomato.com/pune/the-voyage-koregaon-park/info,The Voyage/,N/A,4.5,"₹1,000 for two","Continental, Fast Food, Italian, European, Healthy Food, Desserts, Coffee, Beverages"
https://www.zomato.com/pune/effingut-2-koregaon-park/info,Effingut/,N/A,4.4,"₹2,500 for two","Chinese, Continental, North Indian, Oriental, Finger Food, Italian, Beverages"
https://www.zomato.com/pune/intactu-hinjawadi/info,Intactu/,N/A,4.3,"₹1,500 for two","North Indian, Biryani, Mughlai, Pizza, Pasta, Italian, Fast Food, Desserts"
https://www.zomato.com/pune/dhaba-shaba-veg-bistro-koregaon-park/info,Dhaba Shaba Veg Bistro/,N/A,4.5,₹800 for two,"North Indian, Chinese, Sandwich, Desserts, Beverages"
https://www.zomato.com/pune/barrio-roof-top-kitchen-and-bar-pimple-saudagar/info,Barrio Roof Top Kitchen And Bar/,N/A,4.3,"₹1,800 for two","North Indian, Oriental, Chinese, Biryani, Pizza, Pasta, Seafood, Desserts"
https://www.zomato.com/pune/ishaara-wakad/info,Ishaara/,N/A,4.3,"₹1,400 for two","North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages"
https://www.zomato.com/pune/l7-club-lounge-koregaon-park/info,L7 Club & Lounge/,N/A,4.5,"₹1,300 for two","North Indian, Continental, Finger Food, Biryani"
https://www.zomato.com/pune/acai-dhole-patil-road/info,Acai/,N/A,4.4,"₹2,000 for two","North Indian, Continental, Italian, Pizza, Bar Food"
https://www.zomato.com/pune/talli-koregaon-park/info,Talli/,N/A,4.4,"₹1,600 for two","North Indian, Asian, Continental, Italian, Pizza, Pasta, Bar Food, Beverages"
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi/info,AB's - Absolute Barbecues/,N/A,4.6,"₹1,650 for two","Biryani, BBQ, Kebab, North Indian, Desserts"
https://www.zomato.com/pune/the-gulmohar-bar-curry-house-baner/info,The Gulmohar Bar & Curry House/,N/A,4.3,"₹2,100 for two","North Indian, South Indian, Biryani, Continental, Asian, Seafood"
https://www.zomato.com/pune/copper-chimney-1-wakad/info,Copper Chimney/,N/A,4.5,"₹1,000 for two","North Indian, Biryani, Kebab, Chinese, Salad, Desserts"
https://www.zomato.com/pune/bombay-bistro-mahalunge/info,Bombay Bistro/,N/A,4.4,"₹1,000 for two",Bar Food
https://www.zomato.com/pune/braun-autobahn-the-smart-restaurant-viman-nagar/info,Braun Autobahn - The Smart Restaurant/,N/A,4.6,"₹1,600 for two","Chinese, North Indian, Asian, Rolls, Beverages"
https://www.zomato.com/pune/the-square-novotel-wadgaon-sheri/info,The Square - Novotel/,N/A,4.0,"₹3,200 for two","North Indian, European, Continental, Chinese, Mediterranean, Asian, Italian, Fast Food"
https://www.zomato.com/pune/toscano-koregaon-park/info,Toscano/,N/A,4.7,"₹1,800 for two","Italian, Pizza, Pasta, Continental, Desserts, Steak, Seafood, Beverages"
https://www.zomato.com/pune/aromas-hyderabad-house-phase-1-hinjawadi/info,Aroma's Hyderabad House - Phase 1/,N/A,4.1,"₹1,300 for two","Biryani, Kebab, North Indian, Mughlai, Seafood, Chinese, Beverages"
https://www.zomato.com/pune/qora-cocktail-bar-kitchen-koregaon-park/info,QORA - Cocktail Bar & Kitchen/,N/A,4.5,"₹2,500 for two","Continental, Asian, Salad, Biryani, Sushi, Desserts"
https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden/info,2BHK Diner & Key Club/,N/A,4.2,"₹3,000 for two","North Indian, Mediterranean, European, Finger Food, Italian, American, Beverages"
https://www.zomato.com/pune/la-sicilia-bistro-patisserie-kothrud/info,La Sicilia Bistro & Patisserie/,N/A,4.3,"₹1,400 for two","Continental, Italian, Salad, Sandwich, Burger, Desserts, Coffee, Beverages"
https://www.zomato.com/pune/teddys-kitchen-and-bar-dange-chowk/info,Teddys Kitchen And Bar/,N/A,4.2,"₹1,700 for two","North Indian, Seafood, Continental"
https://www.zomato.com/pune/the-daily-all-day-1-koregaon-park/info,The Daily All Day/,N/A,4.5,"₹1,200 for two","European, Asian, Continental, Italian, Salad, Pizza, Desserts"
https://www.zomato.com/pune/rajdhani-viman-nagar/info,Rajdhani/,N/A,4.1,"₹1,100 for two","North Indian, Gujarati, Rajasthani, Mithai"
https://www.zomato.com/pune/butter-bar-kitchen-balewadi/info,Butter - Bar & Kitchen/,N/A,4.4,"₹1,800 for two","Asian, Italian, Chinese, Sushi, Japanese, Beverages"
https://www.zomato.com/pune/shizusan-viman-nagar/info,Shizusan/,N/A,4.6,"₹1,900 for two","Japanese, Asian, Chinese, Thai, Desserts"
https://www.zomato.com/pune/the-game-palacio-dhole-patil-road/info,The Game Palacio/,N/A,4.3,"₹1,400 for two","Pizza, Sushi, Asian, Italian"
https://www.zomato.com/pune/you-mee-viman-nagar/info,You Mee/,N/A,4.6,"₹2,500 for two","Asian, Japanese, Sushi, Desserts, Beverages"
https://www.zomato.com/pune/nativ-baner/info,Nativ/,N/A,4.5,"₹1,800 for two","North Indian, Mughlai, Continental, Chinese, Asian, Biryani, Bar Food"
https://www.zomato.com/pune/cha-cha-cha-dimsum-sushi-stir-fry-viman-nagar/info,"Cha Cha Cha - Dimsum, Sushi, Stir Fry/",N/A,4.5,"₹1,400 for two","Asian, Chinese, Salad, Desserts"
https://www.zomato.com/pune/si-nonnas-the-original-sourdough-pizza-fc-road/info,Si Nonna's - The Original Sourdough Pizza/,N/A,4.4,₹800 for two,Pizza
https://www.zomato.com/pune/the-break-room-nibm-road/info,The Break Room/,N/A,4.2,"₹1,900 for two","North Indian, Continental, Pasta, Desserts, Beverages"
https://www.zomato.com/IrishHousePune/info,The Irish House/,N/A,4.3,"₹2,500 for two","Continental, Burger, Pizza, Desserts, Beverages"
https://www.zomato.com/pune/bacharika-rooftop-bar-and-kitchen-kothrud/info,Bacharika- Rooftop Bar And Kitchen/,N/A,4.5,"₹1,900 for two","North Indian, Continental, Chinese, Middle Eastern, European, Fast Food, Desserts, Beverages"
